partial	∂	短縮よみ	U+2202 PARTIAL DIFFERENTIAL
del	∂	短縮よみ	U+2202 PARTIAL DIFFERENTIAL
nabla	∇	短縮よみ	U+2207 NABLA
grad	∇	短縮よみ	U+2207 NABLA
laplace	∆	短縮よみ	U+2206 INCREMENT
infty	∞	短縮よみ	U+221E INFINITY
infinity	∞	短縮よみ	U+221E INFINITY
oo	∞	短縮よみ	U+221E INFINITY
producttensor	⨂	短縮よみ	U+2A02 N-ARY CIRCLED TIMES OPERATOR
tensorprod	⊗	短縮よみ	U+2297 CIRCLED TIMES
uparrow	↑	短縮よみ	U+2191 UPWARDS ARROW
uarr	↑	短縮よみ	U+2191 UPWARDS ARROW
arrowu	↑	短縮よみ	U+2191 UPWARDS ARROW
downarrow	↓	短縮よみ	U+2193 DOWNWARDS ARROW
darr	↓	短縮よみ	U+2193 DOWNWARDS ARROW
arrowd	↓	短縮よみ	U+2193 DOWNWARDS ARROW
updownarrow	↕	短縮よみ	U+2195 UP DOWN ARROW
varrow	↕	短縮よみ	U+2195 UP DOWN ARROW
Uparrow	⇑	短縮よみ	U+21D1 UPWARDS DOUBLE ARROW
uArr	⇑	短縮よみ	U+21D1 UPWARDS DOUBLE ARROW
arrowudouble	⇑	短縮よみ	U+21D1 UPWARDS DOUBLE ARROW
Downarrow	⇓	短縮よみ	U+21D3 DOWNWARDS DOUBLE ARROW
dArr	⇓	短縮よみ	U+21D3 DOWNWARDS DOUBLE ARROW
arrowddouble	⇓	短縮よみ	U+21D3 DOWNWARDS DOUBLE ARROW
Updownarrow	⇕	短縮よみ	U+21D5 UP DOWN DOUBLE ARROW
vArr	⇕	短縮よみ	U+21D5 UP DOWN DOUBLE ARROW
longrightarrow	⟶	短縮よみ	U+27F6 LONG RIGHTWARDS ARROW
longto	⟶	短縮よみ	U+27F6 LONG RIGHTWARDS ARROW
arrowrlong	⟶	短縮よみ	U+27F6 LONG RIGHTWARDS ARROW
longleftarrow	⟵	短縮よみ	U+27F5 LONG LEFTWARDS ARROW
arrowllong	⟵	短縮よみ	U+27F5 LONG LEFTWARDS ARROW
longleftrightarrow	⟷	短縮よみ	U+27F7 LONG LEFT RIGHT ARROW
arrowlrlong	⟷	短縮よみ	U+27F7 LONG LEFT RIGHT ARROW
Longrightarrow	⟹	短縮よみ	U+27F9 LONG RIGHTWARDS DOUBLE ARROW
arrowrdoublelong	⟹	短縮よみ	U+27F9 LONG RIGHTWARDS DOUBLE ARROW
Longleftarrow	⟸	短縮よみ	U+27F8 LONG LEFTWARDS DOUBLE ARROW
arrowldoublelong	⟸	短縮よみ	U+27F8 LONG LEFTWARDS DOUBLE ARROW
Longleftrightarrow	⟺	短縮よみ	U+27FA LONG LEFT RIGHT DOUBLE ARROW
arrowlrdoublelong	⟺	短縮よみ	U+27FA LONG LEFT RIGHT DOUBLE ARROW
hookrightarrow	↪	短縮よみ	U+21AA RIGHTWARDS ARROW WITH HOOK
hookleftarrow	↩	短縮よみ	U+21A9 LEFTWARDS ARROW WITH HOOK
rightarrowtail	↣	短縮よみ	U+21A3 RIGHTWARDS ARROW WITH TAIL
leftarrowtail	↢	短縮よみ	U+21A2 LEFTWARDS ARROW WITH TAIL
twoheadrightarrow	↠	短縮よみ	U+21A0 RIGHTWARDS TWO HEADED ARROW
twoheadleftarrow	↞	短縮よみ	U+219E LEFTWARDS TWO HEADED ARROW
rightharpoonup	⇀	短縮よみ	U+21C0 RIGHTWARDS HARPOON WITH BARB UPWARDS
rightharpoondown	⇁	短縮よみ	U+21C1 RIGHTWARDS HARPOON WITH BARB DOWNWARDS
leftharpoonup	↼	短縮よみ	U+21BC LEFTWARDS HARPOON WITH BARB UPWARDS
leftharpoondown	↽	短縮よみ	U+21BD LEFTWARDS HARPOON WITH BARB DOWNWARDS
