dagger	†	短縮よみ
ddagger	‡	短縮よみ
hbar	ℏ	短縮よみ
hslash	ℏ	短縮よみ
ell	ℓ	短縮よみ
angstrom	Å	短縮よみ
aleph	ℵ	短縮よみ
beth	ℶ	短縮よみ
gimel	ℷ	短縮よみ
daleth	ℸ	短縮よみ
Re	ℜ	短縮よみ
realpart	ℜ	短縮よみ
Im	ℑ	短縮よみ
imagpart	ℑ	短縮よみ
imath	ı	短縮よみ
jmath	ȷ	短縮よみ
dif	ⅆ	短縮よみ
differentiald	ⅆ	短縮よみ
Dif	ⅅ	短縮よみ
differentialD	ⅅ	短縮よみ
euler	ℯ	短縮よみ
imaginaryi	ⅈ	短縮よみ
imagunit	ⅈ	短縮よみ
imaginaryj	ⅉ	短縮よみ
micro	µ	短縮よみ
ohm	Ω	短縮よみ
mho	℧	短縮よみ
alpha	α	短縮よみ
beta	β	短縮よみ
gamma	γ	短縮よみ
delta	δ	短縮よみ
epsilon	ε	短縮よみ
varepsilon	ϵ	短縮よみ
vepsilon	ϵ	短縮よみ
zeta	ζ	短縮よみ
eta	η	短縮よみ
theta	θ	短縮よみ
vartheta	ϑ	短縮よみ
vtheta	ϑ	短縮よみ
iota	ι	短縮よみ
kappa	κ	短縮よみ
varkappa	ϰ	短縮よみ
vkappa	ϰ	短縮よみ
lambda	λ	短縮よみ
lam	λ	短縮よみ
mu	μ	短縮よみ
nu	ν	短縮よみ
xi	ξ	短縮よみ
omicron	ο	短縮よみ
pi	π	短縮よみ
varpi	ϖ	短縮よみ
vpi	ϖ	短縮よみ
rho	ρ	短縮よみ
varrho	ϱ	短縮よみ
vrho	ϱ	短縮よみ
sigma	σ	短縮よみ
varsigma	ς	短縮よみ
vsigma	ς	短縮よみ
tau	τ	短縮よみ
upsilon	υ	短縮よみ
phi	φ	短縮よみ
varphi	ϕ	短縮よみ
vphi	ϕ	短縮よみ
chi	χ	短縮よみ
psi	ψ	短縮よみ
omega	ω	短縮よみ
Alpha	Α	短縮よみ
Beta	Β	短縮よみ
Gamma	Γ	短縮よみ
Delta	Δ	短縮よみ
Epsilon	Ε	短縮よみ
Zeta	Ζ	短縮よみ
Eta	Η	短縮よみ
Theta	Θ	短縮よみ
Iota	Ι	短縮よみ
Kappa	Κ	短縮よみ
Lambda	Λ	短縮よみ
Mu	Μ	短縮よみ
Nu	Ν	短縮よみ
Xi	Ξ	短縮よみ
Omicron	Ο	短縮よみ
Pi	Π	短縮よみ
Rho	Ρ	短縮よみ
Sigma	Σ	短縮よみ
Tau	Τ	短縮よみ
Upsilon	Υ	短縮よみ
Phi	Φ	短縮よみ
Chi	Χ	短縮よみ
Psi	Ψ	短縮よみ
Omega	Ω	短縮よみ
Digamma	Ϝ	短縮よみ
ualpha	Α	短縮よみ
capalpha	Α	短縮よみ
ubeta	Β	短縮よみ
capbeta	Β	短縮よみ
ugamma	Γ	短縮よみ
capgamma	Γ	短縮よみ
udelta	Δ	短縮よみ
capdelta	Δ	短縮よみ
uepsilon	Ε	短縮よみ
capepsilon	Ε	短縮よみ
uzeta	Ζ	短縮よみ
capzeta	Ζ	短縮よみ
ueta	Η	短縮よみ
capeta	Η	短縮よみ
utheta	Θ	短縮よみ
captheta	Θ	短縮よみ
uiota	Ι	短縮よみ
capiota	Ι	短縮よみ
ukappa	Κ	短縮よみ
capkappa	Κ	短縮よみ
ulambda	Λ	短縮よみ
caplambda	Λ	短縮よみ
umu	Μ	短縮よみ
capmu	Μ	短縮よみ
unu	Ν	短縮よみ
capnu	Ν	短縮よみ
uxi	Ξ	短縮よみ
capxi	Ξ	短縮よみ
uomicron	Ο	短縮よみ
capomicron	Ο	短縮よみ
upi	Π	短縮よみ
cappi	Π	短縮よみ
urho	Ρ	短縮よみ
caprho	Ρ	短縮よみ
usigma	Σ	短縮よみ
capsigma	Σ	短縮よみ
utau	Τ	短縮よみ
captau	Τ	短縮よみ
uupsilon	Υ	短縮よみ
capupsilon	Υ	短縮よみ
uphi	Φ	短縮よみ
capphi	Φ	短縮よみ
uchi	Χ	短縮よみ
capchi	Χ	短縮よみ
upsi	Ψ	短縮よみ
cappsi	Ψ	短縮よみ
uomega	Ω	短縮よみ
capomega	Ω	短縮よみ
udigamma	Ϝ	短縮よみ
capdigamma	Ϝ	短縮よみ
naturals	ℕ	短縮よみ
natural	ℕ	短縮よみ
NN	ℕ	短縮よみ
bbn	ℕ	短縮よみ
integers	ℤ	短縮よみ
integer	ℤ	短縮よみ
ZZ	ℤ	短縮よみ
